02031302,020313,Giseke
02031303,020313,Nyarugano
02031304,020313,Rugogwe
02031305,020313,Ruramba
02031401,020314,Bunge
02031402,020314,Cyuna
02031403,020314,Gikunzi
02031404,020314,Mariba
02031405,020314,Raranzige
02031406,020314,Rusenge
02040101,020401,Nyakibanda
02040102,020401,Nyumba
02040103,020401,Ryakibogo
02040104,020401,Shori
02040201,020402,Muyogoro
02040202,020402,Nyakagezi
02040203,020402,Rukira
02040204,020402,Sovu
02040301,020403,Buhoro
02040302,020403,Bunazi
02040303,020403,Gahororo
02040304,020403,Kibingo
02040305,020403,Muhembe
02040401,020404,Gishihe
02040402,020404,Kabatwa
02040403,020404,Kabuga
02040404,020404,Karambi
02040405,020404,Musebeya
02040406,020404,Nyabisindu
02040407,020404,Rugarama
02040408,020404,Shanga
02040501,020405,Byinza
02040502,020405,Gahana
02040503,020405,Gitovu
02040504,020405,Kabona
02040505,020405,Sazange
02040601,020406,Buremera
02040602,020406,Gasumba
02040603,020406,Kabuye
02040604,020406,Kanyinya
02040605,020406,Shanga
02040606,020406,Shyembe
02040701,020407,Gatobotobo
02040702,020407,Kabuga
02040703,020407,Mutunda
02040704,020407,Mwulire
02040705,020407,Rugango
02040706,020407,Rusagara
02040707,020407,Tare
02040801,020408,Bukomeye
02040802,020408,Buvumu
02040803,020408,Icyeru
02040804,020408,Rango A
02040901,020409,Butare
02040902,020409,Kaburemera
02040903,020409,Matyazo
02040904,020409,Ngoma
02041001,020410,Busheshi
02041002,020410,Gatovu
02041003,020410,Karama
02041004,020410,Mara
02041005,020410,Muhororo
02041006,020410,Rugogwe
02041007,020410,Ruhashya
02041101,020411,Buhimba
02041102,020411,Gafumba
02041103,020411,Kimirehe
02041104,020411,Kimuna
02041105,020411,Kiruhura
02041106,020411,Mugogwe
02041201,020412,Gatwaro
02041202,020412,Kamwambi
02041203,020412,Kibiraro
02041204,020412,Mwendo
02041205,020412,Nyamabuye
02041206,020412,Nyaruhombo
02041207,020412,Shyunga
02041301,020413,Cyendajuru
02041302,020413,Gisakura
02041303,020413,Kabusanza
02041304,020413,Mugobore
02041305,020413,Nyangazi
02041401,020414,Cyarwa
02041402,020414,Cyimana
02041403,020414,Gitwa
02041404,020414,Mpare
02041405,020414,Rango B
02050101,020501,Bushigishigi
02050102,020501,Byimana
02050103,020501,Gifurwe
02050104,020501,Kizimyamuriro
02050105,020501,Munini
02050106,020501,Rambya
02050201,020502,Gitega
02050202,020502,Karama
02050203,020502,Kiyumba
02050204,020502,Ngoma
02050205,020502,Nyanza
02050206,020502,Nyanzoga
02050301,020503,Kigeme
02050302,020503,Ngiryi
02050303,020503,Nyabivumu
02050304,020503,Nyamugari
02050305,020503,Nzega
02050306,020503,Remera
02050401,020504,Bakopfu
02050402,020504,Gatare
02050403,020504,Mukongoro
02050404,020504,Ruganda
02050405,020504,Shyeru
02050501,020505,Kavumu
02050502,020505,Murambi
02050503,020505,Musenyi
02050504,020505,Nyabisindu
02050505,020505,Nyamiyaga
02050601,020506,Bwama
02050602,020506,Kamegeri
02050603,020506,Kirehe
02050604,020506,Kizi
02050605,020506,Nyarusiza
02050606,020506,Rususa
02050701,020507,Bugarama
02050702,020507,Bugarura
02050703,020507,Gashiha
02050704,020507,Karambo
02050705,020507,Ruhunga
02050706,020507,Uwindekezi
02050801,020508,Bwenda
02050802,020508,Gakanka
02050803,020508,Kibibi
02050804,020508,Nyakiza
02050901,020509,Kagano
02050902,020509,Mujuga
02050903,020509,Mukungu
02050904,020509,Shaba
02050905,020509,Uwingugu
02051001,020510,Manwari
02051002,020510,Mutiwingoma
02051003,020510,Ngambi
02051004,020510,Ngara
02051101,020511,Gitondorero
02051102,020511,Gitwa
02051103,020511,Ruhinga
02051104,020511,Sovu
02051105,020511,Suti
02051106,020511,Yonde
02051201,020512,Gasave
02051202,020512,Jenda
02051203,020512,Masagara
02051204,020512,Masangano
02051205,020512,Masizi
02051206,020512,Nyagisozi
02051301,020513,Gatovu
02051302,020513,Nyarurambi
02051303,020513,Rugano
02051304,020513,Runege
02051305,020513,Rusekera
02051306,020513,Sekera
02051401,020514,Buteteri
02051402,020514,Cyobe
02051403,020514,Gashwati
02051501,020515,Bitandara
02051502,020515,Musaraba
02051503,020515,Mutengeri
02051504,020515,Nkomane
02051505,020515,Nyarwungo
02051506,020515,Twiya
02051601,020516,Buhoro
02051602,020516,Gasarenda
02051603,020516,Gatovu
02051604,020516,Kaganza
02051605,020516,Nkumbure
02051606,020516,Nyamigina
02051701,020517,Bigumira
02051702,020517,Gahira
02051703,020517,Kibyagira
02051704,020517,Mudasomwa
02051705,020517,Munyege
02051706,020517,Rugogwe
02060101,020601,Buhanda
02060102,020601,Gitisi
02060103,020601,Murama
02060104,020601,Rubona
02060105,020601,Rwinyana
02060201,020602,Kamusenyi
02060202,020602,Kirengeri
02060203,020602,Mahembe
02060204,020602,Mpanda
02060205,020602,Muhororo
02060206,020602,Ntenyo
02060207,020602,Nyakabuye
02060301,020603,Bihembe
02060302,020603,Karambi
02060303,020603,Munanira
02060304,020603,Remera
02060305,020603,Rwesero
02060306,020603,Rwoga
02060401,020604,Burima
02060402,020604,Gisali
02060403,020604,Kinazi
